hebrew_name,video_url,tracking_unit,position,intesity,english_name,english_description,hebrew_description
קירוב ירך גומייה,,WEIGHT,,low,Hip Adduction with Resistance Band,"The exercise 'Hip Adduction with Resistance Band' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'קירוב ירך גומייה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
משיכה בפולי אחיזה רחבה,https://www.youtube.com/watch?v=LrLQHJGoGQ4,WEIGHT,seating,low,Wide Grip Lat Pulldown,"The exercise 'Wide Grip Lat Pulldown' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'משיכה בפולי אחיזה רחבה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה משקולות יד בשיפוע שלילי,https://www.youtube.com/watch?v=WsPOYssC4XE,WEIGHT,,hard,Decline Dumbbell Chest Press,"The exercise 'Decline Dumbbell Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה משקולות יד בשיפוע שלילי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
דדליפט-רומני מוט חופשי,https://www.youtube.com/watch?v=11LWEUM-WhQ,WEIGHT,standing,hard,Barbell Romanian Deadlift,"The exercise 'Barbell Romanian Deadlift' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'דדליפט-רומני מוט חופשי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקוואט סומו,https://www.youtube.com/watch?v=NNhdYzm1nlo,WEIGHT,standing,medium,Sumo Squat,"The exercise 'Sumo Squat' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקוואט סומו' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה בפולי אמצע איבר-בודד,https://www.youtube.com/watch?v=TWFcyQUclaw,WEIGHT,seating,medium,Single-Arm Row,"The exercise 'Single-Arm Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה בפולי אמצע איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
שכיבות-סמיכה,https://www.youtube.com/watch?v=eXh1KMLeMqk,WEIGHT,supine,medium,Push-ups,"The exercise 'Push-ups' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'שכיבות-סמיכה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פרונט סקוואט,https://www.youtube.com/watch?v=rD14OzU3_lA,WEIGHT,standing,hard,Front Squat,"The exercise 'Front Squat' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פרונט סקוואט' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרמת שכמות משקולות יד בעמידה,https://www.youtube.com/watch?v=JSgMRaoT_JM,WEIGHT,standing,low,Standing Dumbbell SHRUGS,"The exercise 'Standing Dumbbell SHRUGS' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרמת שכמות משקולות יד בעמידה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה מוט חופשי,https://www.youtube.com/watch?v=NM9UPUGAMIc,WEIGHT,,medium,Barbell bench press,"The exercise 'Barbell bench press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה מוט חופשי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
